-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.30.111, port 55254
[  5] local 192.168.30.190 port 5201 connected to 192.168.30.111 port 38557
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]   5.60-5.70   sec  5.75 KBytes   471 Kbits/sec  3341.444 ms  0/4 (0%)  
[  5]   5.70-5.80   sec  4.31 KBytes   353 Kbits/sec  2754.452 ms  0/3 (0%)  
[  5]   5.80-5.90   sec  5.75 KBytes   471 Kbits/sec  2127.894 ms  0/4 (0%)  
[  5]   5.90-6.00   sec  4.31 KBytes   353 Kbits/sec  1753.428 ms  0/3 (0%)  
[  5]   6.00-6.10   sec  4.31 KBytes   353 Kbits/sec  1444.933 ms  0/3 (0%)  
[  5]   6.10-6.20   sec  5.75 KBytes   471 Kbits/sec  1116.287 ms  0/4 (0%)  
[  5]   6.20-6.30   sec  4.31 KBytes   353 Kbits/sec  919.918 ms  0/3 (0%)  
[  5]   6.30-6.40   sec  5.75 KBytes   471 Kbits/sec  710.690 ms  0/4 (0%)  
[  5]   6.40-6.50   sec  4.31 KBytes   353 Kbits/sec  585.743 ms  0/3 (0%)  
[  5]   6.50-6.60   sec  4.31 KBytes   353 Kbits/sec  482.728 ms  0/3 (0%)  
[  5]   6.60-6.70   sec  5.75 KBytes   471 Kbits/sec  373.014 ms  0/4 (0%)  
[  5]   6.70-6.80   sec  4.31 KBytes   353 Kbits/sec  307.478 ms  0/3 (0%)  
[  5]   6.80-6.90   sec  4.31 KBytes   353 Kbits/sec  253.435 ms  0/3 (0%)  
[  5]   6.90-7.00   sec  5.75 KBytes   471 Kbits/sec  195.887 ms  0/4 (0%)  
[  5]   7.00-7.10   sec  4.31 KBytes   353 Kbits/sec  161.538 ms  0/3 (0%)  
[  5]   7.10-7.20   sec  5.75 KBytes   471 Kbits/sec  124.876 ms  0/4 (0%)  
[  5]   7.20-7.30   sec  4.31 KBytes   353 Kbits/sec  103.096 ms  0/3 (0%)  
[  5]   7.30-7.40   sec  4.31 KBytes   353 Kbits/sec  85.012 ms  0/3 (0%)  
[  5]   7.40-7.50   sec  5.75 KBytes   471 Kbits/sec  65.871 ms  0/4 (0%)  
[  5]   7.50-7.60   sec  4.31 KBytes   353 Kbits/sec  54.424 ms  0/3 (0%)  
[  5]   7.60-7.70   sec  5.75 KBytes   471 Kbits/sec  42.174 ms  0/4 (0%)  
[  5]   7.70-7.80   sec  4.31 KBytes   353 Kbits/sec  34.901 ms  0/3 (0%)  
[  5]   7.80-7.90   sec  4.31 KBytes   353 Kbits/sec  28.812 ms  0/3 (0%)  
[  5]   7.90-8.00   sec  5.75 KBytes   471 Kbits/sec  22.422 ms  0/4 (0%)  
[  5]   8.00-8.10   sec  4.31 KBytes   353 Kbits/sec  18.608 ms  0/3 (0%)  
[  5]   8.10-8.20   sec  5.75 KBytes   471 Kbits/sec  14.501 ms  0/4 (0%)  
[  5]   8.20-8.30   sec  4.31 KBytes   353 Kbits/sec  13.522 ms  0/3 (0%)  
[  5]   8.30-8.40   sec  4.31 KBytes   353 Kbits/sec  12.821 ms  0/3 (0%)  
[  5]   8.40-8.50   sec  5.75 KBytes   471 Kbits/sec  10.022 ms  0/4 (0%)  
[  5]   8.50-8.60   sec  4.31 KBytes   353 Kbits/sec  8.437 ms  0/3 (0%)  
[  5]   8.60-8.70   sec  5.75 KBytes   471 Kbits/sec  6.684 ms  0/4 (0%)  
[  5]   8.70-8.80   sec  4.31 KBytes   353 Kbits/sec  5.888 ms  0/3 (0%)  
[  5]   8.80-8.90   sec  4.31 KBytes   353 Kbits/sec  5.208 ms  0/3 (0%)  
[  5]   8.90-9.00   sec  5.75 KBytes   471 Kbits/sec  5.782 ms  0/4 (0%)  
[  5]   9.00-9.10   sec  4.31 KBytes   353 Kbits/sec  6.807 ms  0/3 (0%)  
[  5]   9.10-9.20   sec  5.75 KBytes   471 Kbits/sec  5.425 ms  0/4 (0%)  
[  5]   9.20-9.30   sec  4.31 KBytes   353 Kbits/sec  4.580 ms  0/3 (0%)  
[  5]   9.30-9.40   sec  4.31 KBytes   353 Kbits/sec  4.211 ms  0/3 (0%)  
[  5]   9.40-9.50   sec  5.75 KBytes   471 Kbits/sec  3.704 ms  0/4 (0%)  
[  5]   9.50-9.60   sec  4.31 KBytes   353 Kbits/sec  3.159 ms  0/3 (0%)  
[  5]   9.60-9.70   sec  5.75 KBytes   471 Kbits/sec  2.602 ms  0/4 (0%)  
[  5]   9.70-9.80   sec  4.31 KBytes   353 Kbits/sec  2.305 ms  0/3 (0%)  
[  5]   9.80-9.90   sec  4.31 KBytes   353 Kbits/sec  2.000 ms  0/3 (0%)  
[  5]   9.90-10.00  sec  5.75 KBytes   471 Kbits/sec  1.684 ms  0/4 (0%)  
[  5]  10.00-10.10  sec  4.31 KBytes   353 Kbits/sec  1.514 ms  0/3 (0%)  
[  5]  10.10-10.20  sec  5.75 KBytes   471 Kbits/sec  3.051 ms  0/4 (0%)  
[  5]  10.20-10.30  sec  4.31 KBytes   353 Kbits/sec  4.731 ms  0/3 (0%)  
[  5]  10.30-10.40  sec  4.31 KBytes   353 Kbits/sec  4.050 ms  0/3 (0%)  
[  5]  10.40-10.50  sec  5.75 KBytes   471 Kbits/sec  3.283 ms  0/4 (0%)  
[  5]  10.50-10.60  sec  4.31 KBytes   353 Kbits/sec  2.855 ms  0/3 (0%)  
[  5]  10.60-10.70  sec  5.75 KBytes   471 Kbits/sec  2.416 ms  0/4 (0%)  
[  5]  10.70-10.80  sec  4.31 KBytes   353 Kbits/sec  2.202 ms  0/3 (0%)  
[  5]  10.80-10.90  sec  4.31 KBytes   353 Kbits/sec  3.654 ms  0/3 (0%)  
